"","mod.st.jan","mod.st.feb","mod.st.mar","mod.st.apr","mod.st.may","mod.st.jun","mod.st.jul","mod.st.aug","mod.st.sep","mod.st.oct","mod.st.nov","mod.st.dec","convert.code","Lat","Lon"
"7708",261.47509501713,262.988508543289,272.800482189951,283.477754651157,288.589859504688,293.48135763544,295.120029430306,293.565966276551,289.559236823296,282.528758891926,273.518868792116,263.761919348785,3,45.8500556,-92.75442225
"7714",261.50864978938,262.709405314819,272.621364454419,283.41440194625,288.539759938808,293.221590226537,294.841181246285,293.351230982896,289.353588982157,282.416575443846,273.552747559671,263.65481731013,3,45.8500556,-92.20478349
"7733",260.608810784493,261.90979861481,271.409289598271,282.140707692978,287.263533710197,291.942280098694,293.613653667009,292.224374363764,288.603288002259,281.476700757769,273.093930716641,263.164209957164,3,45.8500556,-90.46426078
"7734",260.542730852583,261.869438757025,271.312145729678,282.113184041327,287.234927298831,291.920349972407,293.583812443194,292.19818027385,288.576641720813,281.464297206599,273.078601869803,263.180774537563,3,45.8500556,-90.37265432
"7764",263.420516753683,264.124807567655,272.011284707854,281.088467048117,286.767018157176,291.79226014875,294.205245432986,293.130487243306,288.762560224824,281.854157029333,273.932883487296,266.300255264104,3,45.8500556,-87.62446055
"7776",265.684263420563,264.871220190738,272.211383855435,279.641682186111,284.786047504838,290.323952714396,293.375277503023,293.037325075208,289.019150084292,282.77097563691,275.864056326535,269.206040789685,3,45.8500556,-86.52518305
"7903",260.738399023417,262.020272076773,271.629471986481,282.335982197994,287.310247494525,291.948050129692,293.6383031791,292.262232055255,288.626639543988,281.473658020454,273.117350139549,263.195478781227,3,45.75844915,-90.46426078
"7908",260.758427612917,261.947241108477,271.297157974477,282.271770909907,287.245523278171,291.881229615144,293.550931088019,292.179359081197,288.519499797845,281.422380935571,273.014867479037,263.192513962366,3,45.75844915,-90.00622848
"7927",262.68816252535,264.067001376322,272.188579353581,282.242421657068,287.662339434178,292.268165077845,294.208681662021,292.974301272257,288.689386054398,281.584963394306,273.380205710359,265.123904978363,3,45.75844915,-88.26570577
"7930",263.009401150963,264.249459670699,272.216268985711,281.969121813272,287.523491802268,292.269256700053,294.40719425738,293.194893940486,288.812842696238,281.677528955873,273.564684510333,265.660491547046,3,45.75844915,-87.99088639
"7931",263.12286229566,264.293828637958,272.190333656581,281.817785286574,287.421009866933,292.22094059644,294.441874425775,293.239084803845,288.837744278484,281.700999548731,273.634861236329,265.843634263569,3,45.75844915,-87.89927993
"7933",263.427420634495,264.415095903178,272.11185778684,281.448546294028,287.148828407975,292.052974286255,294.418899454676,293.259187136852,288.829655811204,281.783405523398,273.762425993148,266.264406435588,3,45.75844915,-87.71606701
"8081",261.048017972301,262.186754020627,271.502795775537,282.412690573534,287.286451725255,291.852572531199,293.57162833009,292.202192681674,288.471334040655,281.465656416951,273.112730584417,263.395617697921,3,45.66684269,-89.73140911
"8097",262.858314212241,264.146534849875,272.327620434935,282.444358196806,287.731778785174,292.30667427141,294.242278073356,293.0273733715,288.732052090368,281.69803935363,273.508464186067,265.304195111694,3,45.66684269,-88.26570577
"8098",262.962314764697,264.231713379412,272.350341958808,282.387154641003,287.740263786806,292.359753228134,294.329166462942,293.112426091426,288.78143368713,281.714991010756,273.562189076944,265.45829734037,3,45.66684269,-88.17409931
"8100",263.187088717789,264.342163148118,272.349018433472,282.183919754213,287.633981995567,292.352136381016,294.454826484137,293.25154865169,288.859166453273,281.771881991238,273.692238932676,265.820969819752,3,45.66684269,-87.99088639
"8101",263.298172570898,264.405551732322,272.337401920604,282.05096923321,287.537177148669,292.311505198877,294.502077751664,293.306163704037,288.899936696484,281.801954220148,273.756924311139,266.018830363535,3,45.66684269,-87.89927993
"8102",263.420972924194,264.454838757991,272.310063738241,281.884154420571,287.406623127674,292.245012603905,294.526837556405,293.347731800595,288.92241767663,281.838523062336,273.830510455495,266.247074978792,3,45.66684269,-87.80767347
"8251",261.181516039095,262.412043959894,271.781104677833,282.603728517423,287.328111082512,291.874458933262,293.629609274794,292.233950682447,288.477046063264,281.441826084765,273.129235003333,263.422487865243,3,45.57523623,-89.73140911
