"","mod.alb.jan","mod.alb.feb","mod.alb.mar","mod.alb.apr","mod.alb.may","mod.alb.jun","mod.alb.jul","mod.alb.aug","mod.alb.sep","mod.alb.oct","mod.alb.nov","mod.alb.dec","convert.code","Lat","Lon"
"6679",0.2628275,0.2605875,0.198675,0.132243333333333,0.1330925,0.1535775,0.1525775,0.1453975,0.135785,0.124843333333333,0.1213625,0.1803325,3,46.27273151,-91.88152241
"6683",0.236995,0.252665,0.1867325,0.131873333333333,0.1331875,0.1535525,0.15255,0.1455575,0.1361425,0.124993333333333,0.1188775,0.150715,3,46.30280182,-91.46782278
"6817",0.256565,0.25892,0.200235,0.132286666666667,0.13304,0.1536475,0.152675,0.1452575,0.1355,0.12477,0.120015,0.1714475,3,46.17781302,-92.17997366
"6834",0.26826,0.258595,0.210045,0.13165,0.1334875,0.15357,0.1525675,0.14593,0.1371325,0.12546,0.119,0.201295,3,46.29997361,-90.42242346
"6845",0.25159,0.2542275,0.2014575,0.133166666666667,0.13388,0.15359,0.1525225,0.1463225,0.1385375,0.12626,0.12049,0.1710225,3,46.36482569,-89.2814024
"6956",0.25399,0.261285,0.2009775,0.133076666666667,0.133015,0.15371,0.1527675,0.1451675,0.1353525,0.12475,0.12201,0.1773475,3,46.09031493,-92.37445933
"6957",0.2502825,0.253525,0.1996375,0.133006666666667,0.1330325,0.1537025,0.1527575,0.145195,0.1354025,0.12477,0.12094,0.175815,3,46.09840854,-92.27148431
"6958",0.2455575,0.23736,0.1915275,0.13224,0.133055,0.1536925,0.1527525,0.145225,0.13545,0.12479,0.11949,0.1704525,3,46.10641067,-92.16847954
"6959",0.246755,0.2368225,0.19211,0.132033333333333,0.1330725,0.1536825,0.15274,0.145255,0.1355075,0.124813333333333,0.1194525,0.1720975,3,46.11432129,-92.06544535
"6960",0.2642775,0.2615475,0.200135,0.13199,0.1330975,0.1536725,0.1527325,0.1452875,0.13557,0.124843333333333,0.1194975,0.18051,3,46.12214034,-91.96238205
"6986",0.25194,0.25212,0.1932375,0.132476666666667,0.1338925,0.1536275,0.1525825,0.146275,0.13842,0.126256666666667,0.1219425,0.177286666666667,3,46.29318289,-89.27360373
"6994",0.261653333333333,0.2588325,0.2125125,0.131753333333333,0.1341525,0.15363,0.1525975,0.1462825,0.1390975,0.127066666666667,0.1225525,0.18853,3,46.33326404,-88.4432794
"6999",0.25582,0.25766,0.2136875,0.1341,0.1343,0.1536375,0.152655,0.1462525,0.13931,0.127426666666667,0.1235375,0.180025,3,46.35530476,-87.92375105
"7001",0.2533025,0.258705,0.2141925,0.136576666666667,0.13435,0.1536425,0.1526825,0.146245,0.1393725,0.127493333333333,0.1238475,0.1579325,3,46.36347194,-87.71582773
"7028",0.2415725,0.25058,0.21371,0.138946666666667,0.1354025,0.1539425,0.1532475,0.1461625,0.1402825,0.12721,0.124085,0.1633075,3,46.43734544,-84.90413435
"7094",0.243855,0.256715,0.1875525,0.13229,0.1329825,0.15379,0.152875,0.14508,0.1352475,0.124736666666667,0.12224,0.1721525,3,45.99413409,-92.67108821
"7096",0.25486,0.25985,0.19355,0.132393333333333,0.1330175,0.15377,0.1528525,0.1451175,0.135295,0.124763333333333,0.1227025,0.17854,3,46.01075714,-92.4655494
"7097",0.25692,0.2617125,0.201375,0.132973333333333,0.133035,0.1537575,0.1528425,0.145145,0.1353275,0.12478,0.122365,0.178875,3,46.01893175,-92.3627344
"7098",0.2511925,0.2597575,0.1983275,0.133066666666667,0.13305,0.1537475,0.1528325,0.14517,0.135365,0.1248,0.1207775,0.1783425,3,46.02701504,-92.25988945
"7099",0.2597375,0.2596125,0.2003275,0.13354,0.1330725,0.1537375,0.1528225,0.1451975,0.13541,0.124816666666667,0.12044,0.180895,3,46.03500696,-92.15701485
"7100",0.2487625,0.2461725,0.188775,0.131983333333333,0.13309,0.15373,0.152815,0.145225,0.13546,0.12484,0.1192,0.1701475,3,46.04290748,-92.05411095
"7101",0.261475,0.26057,0.192845,0.13216,0.13311,0.1537175,0.1528075,0.1452575,0.135515,0.124863333333333,0.1188325,0.1669125,3,46.05071655,-91.95117805
"7105",0.264055,0.25979,0.202785,0.132233333333333,0.1332025,0.15369,0.152775,0.1453925,0.13579,0.124976666666667,0.12071,0.1741225,3,46.08103766,-91.53916312
"7236",0.25148,0.25883,0.1893925,0.132376666666667,0.13302,0.1538275,0.1529375,0.145085,0.13527,0.12479,0.122145,0.17853,3,45.93112742,-92.55638
"7241",0.2620475,0.260995,0.199935,0.132926666666667,0.1331075,0.153775,0.1528875,0.1451975,0.1354225,0.12487,0.11965,0.1816475,3,45.97149225,-92.04280554
"7242",0.2643925,0.260745,0.1973225,0.132296666666667,0.1331275,0.1537625,0.1528775,0.1452275,0.13547,0.12489,0.1190825,0.1718475,3,45.97929137,-91.94000272
"7244",0.25979,0.260235,0.1945175,0.131976666666667,0.1331725,0.1537525,0.1528625,0.14529,0.135585,0.12494,0.1194525,0.1578225,3,45.99461548,-91.73431175
"7251",0.207215,0.233305,0.1885875,0.131513333333333,0.1333475,0.1537075,0.15281,0.1455425,0.136165,0.12518,0.1194725,0.150415,3,46.0453675,-91.01353156
"7277",0.2605775,0.257985,0.2127475,0.136296666666667,0.1341925,0.153705,0.152715,0.1461675,0.138915,0.127206666666667,0.1230675,0.1808625,3,46.19445542,-88.32626504
"7288",0.238745,0.22754,0.199185,0.135476666666667,0.13451,0.15375,0.1528825,0.1461275,0.139295,0.127576666666667,0.125695,0.17064,3,46.23874888,-87.18556302
"7375",0.24913,0.257735,0.1859375,0.132193333333333,0.1330175,0.153895,0.1530275,0.14505,0.135285,0.12483,0.1221425,0.17817,3,45.84299898,-92.74941696
"7380",0.25853,0.262125,0.1975075,0.13273,0.1330925,0.1538425,0.15298,0.1451275,0.135335,0.124873333333333,0.12076,0.181665,3,45.88422342,-92.23678851
"7381",0.261905,0.262215,0.1994975,0.13297,0.13311,0.15383,0.15297,0.1451525,0.1353625,0.12489,0.1206825,0.183715,3,45.89219504,-92.1341733
"7382",0.26291,0.26173,0.2008275,0.133293333333333,0.1331275,0.1538225,0.15296,0.145175,0.1353975,0.124906666666667,0.12036,0.184585,3,45.90007548,-92.031529
