"","d.alb.jan","d.alb.feb","d.alb.mar","d.alb.apr","d.alb.may","d.alb.jun","d.alb.jul","d.alb.aug","d.alb.sep","d.alb.oct","d.alb.nov","d.alb.dec","convert.code","Lat","Lon"
"5982",0.0511575,0.034095,0.0387575,0.0288013333333333,0.05136575,0.06579625,0.0597275,0.057474,0.05317575,0.0418966666666667,0.00762225,0.016145,3,46.68892495,-91.10446435
"6110",0.025385,0.042775,0.0478975,0.029068,0.05106075,0.06591125,0.059885,0.056869,0.05172075,0.0413326666666667,0.0079285,-0.000379999999999998,3,46.51858768,-92.44544457
"6118",0.037895,0.034975,0.050885,0.0288513333333333,0.05124325,0.06585375,0.05983,0.0571965,0.05248075,0.041642,0.00722375,0.00508,3,46.58125593,-91.61451264
"6120",0.0424225,0.0344725,0.0504625,0.0288013333333333,0.05129075,0.06584375,0.0598175,0.0572865,0.05269575,0.0417316666666667,0.00702275,0.0078675,3,46.59599942,-91.40649193
"6121",0.0424925,0.03432,0.0475825,0.0287846666666667,0.05131575,0.06583875,0.0598125,0.0573315,0.05280325,0.041776,0.007021,0.0122725,3,46.60323242,-91.30244026
"6122",0.0521666666666667,0.0341575,0.0457925,0.0287546666666667,0.05134575,0.06583875,0.05981,0.0573765,0.05292575,0.0418326666666667,0.00801225,0.02083,3,46.61037288,-91.19836151
"6123",0.050385,0.03401,0.045825,0.028738,0.05137325,0.06583375,0.059805,0.057419,0.05304825,0.041886,0.0093835,0.02639,3,46.61742076,-91.094256
"6145",0.0338925,0.01645,0.043455,0.0286813333333333,0.05211325,0.06586875,0.0597825,0.0581165,0.05565075,0.0434176666666667,0.008546,0.0089575,3,46.74898385,-88.79785839
"6146",0.0238375,0.0348525,0.043175,0.0287346666666667,0.05214825,0.06586625,0.0597875,0.0581165,0.05571575,0.0435166666666667,0.0081535,0.0112375,3,46.75389346,-88.69323219
"6148",0.04543,0.039135,0.0542775,0.028828,0.05221575,0.06587375,0.0598025,0.0581065,0.05584075,0.0436866666666667,0.0088835,0.015915,3,46.76343271,-88.48392469
