"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"70",-1.4348254964518e-07,-2.32010347062411e-07,-5.18410729521608e-07,1.12037838661728e-07,-4.15232024381368e-06,-5.35832576228193e-06,-5.04714804669616e-06,-2.92014161936517e-06,-2.84811599035489e-06,-2.68963679288257e-06,-1.43176448318673e-06,-7.17829584136173e-07
"71",-1.18763157617262e-07,-5.82403536100585e-08,-3.75957163163421e-07,4.3216850855975e-07,-1.67731199790436e-06,-1.0300429524447e-06,-4.88308502558516e-07,-1.02308994955429e-07,-1.03053932214186e-06,-1.87987931784408e-06,-1.10480980719771e-06,-5.42292728647558e-07
"72",9.02515218241622e-08,1.52201893151719e-07,-1.38284176457933e-08,5.13560201181466e-07,5.59599699868333e-07,2.46516723353523e-06,3.59496065021488e-06,3.77890371817921e-06,1.80710100438633e-06,-3.580535303711e-07,-3.68322332011998e-07,-8.44942312641978e-08
"73",2.96615335704922e-07,4.87597574920685e-07,6.6875918778961e-07,2.83503535793664e-07,4.643449663265e-06,7.65413435858155e-06,8.38218686399072e-06,7.36426760034121e-06,5.16849045280132e-06,2.57371491106254e-06,1.30928661970118e-06,7.24574792238593e-07
"74",3.62099582812696e-06,3.82990470358332e-06,4.17850027810596e-06,4.3581483479825e-07,2.49778461603087e-05,5.70194319481017e-05,9.79346010237954e-05,0.000114150075226184,7.17320752352222e-05,1.72064359074817e-05,1.68473489425744e-06,3.97563594962319e-06
"75",-5.33473539734621e-07,-6.41513422458411e-07,-9.35200928809566e-07,-1.33620652921066e-08,-5.7310170287157e-06,-9.88387161765934e-06,-1.33325996096455e-05,-1.37870618832413e-05,-9.46436166706029e-06,-3.89202921085502e-06,-1.49054951025458e-06,-1.03443583508401e-06
"76",-1.85657251195377e-07,-2.61644968449584e-07,-4.39167908230236e-07,-2.79245854933626e-08,-2.78782214183767e-06,-4.14187667630644e-06,-4.39507408689981e-06,-3.80171357783234e-06,-2.91888620538417e-06,-1.80672188033932e-06,-9.53266237221424e-07,-5.13661265753006e-07
"77",-1.95838591923603e-07,-2.67014293490829e-07,-5.19838034977816e-07,1.14368451395607e-07,-3.10879024846215e-06,-4.19759234026751e-06,-4.2816381484101e-06,-3.59478003289235e-06,-3.03417316769881e-06,-2.2297960773291e-06,-1.20594805186528e-06,-6.24684728948436e-07
"78",-2.35612107533806e-07,-3.26179057376892e-07,-5.82096190850248e-07,1.42974783304741e-08,-3.59579774564803e-06,-5.16243975559098e-06,-5.28750758436119e-06,-4.47820453187907e-06,-3.56878929581903e-06,-2.40990849923261e-06,-1.3162370391011e-06,-6.90146304186874e-07
"79",-4.50116237294096e-07,-4.27248581934932e-07,-9.29251706244773e-07,5.32001556401711e-07,-5.11809517774846e-06,-6.99391853601532e-06,-9.04082487435169e-06,-9.08244555142538e-06,-7.19194892425153e-06,-4.33631731207013e-06,-1.93671551812935e-06,-1.17034741969362e-06
