"","x"
"5697",3909
"5700",3912
"5701",3913
"5704",3916
"5734",3935
"5735",3936
"5737",3938
"5738",3939
"5739",3940
"5740",3941
"5742",3943
"5743",3944
"5744",3945
"5749",3950
"5750",3951
"5751",3952
"5753",3954
"5754",3955
"5755",3956
"5814",3978
"5820",3984
"5821",3985
"5823",3987
"5825",3989
"5854",4009
"5855",4010
"5861",4016
"5862",4017
"5863",4018
"5866",4020
"5867",4021
"5868",4022
"5870",4024
"5871",4025
"5872",4026
"5873",4027
"5875",4029
"5876",4030
"5936",4050
"5937",4051
"5938",4052
"5940",4054
"5941",4055
"5942",4056
"5981",4085
"5983",4087
"5984",4088
"5985",4089
"5986",4090
"5987",4091
"5990",4093
"5993",4094
"5997",4098
"6062",4121
"6063",4122
"6064",4123
"6067",4126
"6095",4148
"6096",4149
"6101",4154
"6103",4155
"6109",4159
"6110",4160
"6112",4161
"6114",4163
"6116",4164
"6119",4167
"6184",4184
"6211",4202
"6213",4204
"6214",4205
"6216",4207
"6217",4208
"6218",4209
"6222",4213
"6223",4214
"6226",4215
"6227",4216
"6229",4217
"6230",4218
"6239",4221
"6301",4238
"6302",4239
"6328",4254
"6330",4256
"6331",4257
"6332",4258
"6335",4261
"6343",4265
"6344",4266
"6346",4268
"6349",4270
"6350",4271
"6407",4298
"6434",4319
"6435",4320
"6436",4321
"6437",4322
"6438",4323
"6444",4328
"6520",4369
"6521",4370
"6529",4377
"6596",4416
"6597",4417
"6598",4418
"6599",4419
"6600",4420
"6606",4425
"6665",4458
"6667",4460
"6669",4462
"6670",4463
"6676",4468
"6729",4498
"6730",4499
"6731",4500
"6732",4501
"6737",4505
"6780",4531
"6781",4532
"6782",4533
"6783",4534
"6833",4563
"6834",4564
"6840",4568
"6979",4657
"6987",4664
"6989",4665
"7035",4699
"7071",4719
